Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
anthonyedwards,Anthony Edwards,131,SG,20,MIN,28,28,35.9,8.1,18.7,0.434,3.1,8.6,0.36,5.0,10.0,0.498,0.517,2.8,3.5,0.788,1.2,4.6,5.8,3.6,1.6,0.7,3.3,2.3,22.1,1.0,0.9333333333333333,1288.81,488.4100000000001,26.847661638444887,10.24548
kessleredwards,Kessler Edwards,132,SF,21,BRK,3,0,18.3,3.3,6.0,0.556,1.7,3.3,0.5,1.7,2.7,0.625,0.694,0.0,0.0,0.766,1.7,2.7,4.3,0.7,0.7,0.0,1.0,0.7,8.3,0.0,0.1,334.89000000000004,68.89000000000001,0.702291589805883,
cjelleby,CJ Elleby,133,SF,21,POR,14,0,5.4,0.7,1.6,0.455,0.3,0.9,0.333,0.4,0.7,0.6,0.545,0.0,0.0,0.766,0.1,1.1,1.3,0.3,0.0,0.0,0.5,0.8,1.7,0.0,0.4666666666666667,29.160000000000004,2.8899999999999997,3.2416116248313602,1.517981
wayneellington,Wayne Ellington,134,SG,34,LAL,21,3,20.4,2.2,5.5,0.397,2.0,5.1,0.398,0.1,0.4,0.375,0.582,0.2,0.2,0.8,0.2,1.3,1.5,0.7,0.5,0.1,0.4,1.0,6.6,0.14285714285714285,0.7,416.15999999999997,43.559999999999995,3.779935112665655,2.641691
joelembiid,Joel Embiid,135,C,27,PHI,18,18,33.1,7.3,16.7,0.439,1.3,3.4,0.371,6.1,13.3,0.456,0.477,7.9,9.9,0.798,1.7,9.3,11.0,4.2,1.1,1.3,2.6,2.7,23.8,1.0,0.6,1095.6100000000001,566.44,28.11202216904799,31.57939
dreweubanks,Drew Eubanks,136,C,24,SAS,26,8,14.4,2.0,3.8,0.52,0.0,0.2,0.2,2.0,3.7,0.537,0.525,1.5,1.8,0.809,1.2,3.3,4.6,1.3,0.4,0.8,1.2,1.4,5.5,0.3076923076923077,0.8666666666666667,207.36,30.25,3.3946680840225385,1.762796
tackofall,Tacko Fall,137,C,26,CLE,8,0,3.1,0.3,0.6,0.4,0.0,0.0,0.0,0.3,0.6,0.4,0.4,0.1,0.6,0.2,0.1,0.5,0.6,0.0,0.0,0.3,0.1,0.1,0.6,0.0,0.26666666666666666,9.610000000000001,0.36,5.433180029604591,
derrickfavors,Derrick Favors,138,C,30,OKC,21,9,16.7,2.7,5.2,0.509,0.1,0.4,0.222,2.6,4.8,0.535,0.518,0.5,0.9,0.556,1.4,3.7,5.1,0.6,0.5,0.2,0.3,1.4,5.9,0.42857142857142855,0.7,278.89,34.81,5.016520840435806,9.7209
brunofernando,Bruno Fernando,139,C,23,BOS,8,0,2.3,0.3,0.4,0.667,0.0,0.0,0.0,0.3,0.4,0.667,0.667,0.0,0.0,0.766,0.1,0.1,0.3,0.1,0.0,0.1,0.4,0.4,0.5,0.0,0.26666666666666666,5.289999999999999,0.25,5.18722832704948,1.782621
dorianfinneysmith,Dorian Finney-Smith,140,PF,28,DAL,28,28,32.1,3.5,8.0,0.435,1.8,4.8,0.37,1.7,3.1,0.534,0.547,0.6,1.0,0.586,1.7,3.0,4.8,1.8,1.4,0.5,1.0,2.3,9.3,1.0,0.9333333333333333,1030.41,86.49000000000001,12.467108324238762,4.0
